contents,status
"23 march 2020 geneva new world health organization who guidance will help countries accelerate efforts to stop people with tuberculosis tb infection becoming sick with tb by giving them preventive treatment.a quarter of the worlds population is estimated to be infected with tb bacteria. these people are neither sick nor contagious. however they are at greater risk of developing tb disease especially those with weakened immunity. offering them tb preventive treatment will not only protect them from becoming sick but also cut down on the risk of transmission in the community. as we mark world tb day 2020 the disease remains the worlds top infectious killer. in 2018 10 million people fell ill with tb worldwide and 1.5 million people lost their lives to this disease. covid-19 is highlighting just how vulnerable people with lung diseases and weakened immune systems can be said dr tedros adhanom ghebreyesus who director general. the world committed to end tb by 2030 improving prevention is key to making this happen. millions of people need to be able to take tb preventive treatment to stop the onset of disease avert suffering and save lives"".dr tedros highlighted the importance to continue efforts to tackle longstanding health problems including tbduring global outbreaks such as covid-19. at the same time programmes already in place to combat tb and other major infectious diseases can be leveraged to make the response to covid-19 more effective and rapid.although some progress has been made towards targets set at the un high level meeting on tb in 2018 tb preventive treatment has been largely neglected. global leaders committed to ensuring access to tb preventive treatment to at least 24 million contacts of people with active tb and 6 million people living with hiv by 2022. to date only a fraction of that target has been reached with countries putting less than 430,000 contacts and 1.8 million people on tb preventive treatment in 2018. tb remains the top cause of death among people with hiv. tb preventive treatment works synergistically with antiretroviral therapy to prevent tb and save lives. reinvigorated efforts by governments health services partners donors and civil society will be needed to increase access to tb preventive treatment to the levels targeted. the new consolidated guidelines recommend a range of innovative approaches to scale up access to tb preventive treatment who recommends a scale up of tb preventive treatment among populations at highest risk including household contacts of tb patients people living with hiv and other people at risk with lowered immunity or living in crowded settings. who recommends an integration of tb preventive treatment services into ongoing case finding efforts for active tb. all household contacts of tb patients and people living with hiv are recommended to be screened for active tb. if active tb is ruled out they should be initiated on tb preventive treatment. who recommends that either a tuberculin skin test or interferon gamma release assay igra be used to test for tb infection. both tests are helpful to find people more likely to benefit from tb preventive treatment but should not become a barrier to scale up access. testing for tb infection is not required before starting tb preventive treatment in people living with hiv and children under 5 years who are contacts of people with active tb.who recommends new shorter options for preventive treatment in addition to the widely used 6 months of daily isoniazid. the shorter options that are now recommended range from a 1 month daily regimen of rifapentine plus isoniazid to 3 months weekly rifapentine plus isoniazid 3 months daily rifampicin plus isoniazid or 4 months of daily rifampicin alone.as people around the globe come together to commemorate world tb day who is calling on governments affected communities civil society organizations health care providers donors partners and the industry to unite forces and step up the tb response notably for tb preventive treatment to ensure no one is left behind said dr tereza kasaeva director of who s global tb programme. the new who guidance shows the way forward for millions to rapidly access new tools and shorter safer options for preventive treatment. the time for action is now. tb preventive treatment is an affordable intervention that can prevent families from sliding into poverty and preserve the health and economy of whole communities. who anticipates that as new and safer drugs come onto the markets and as prices fall it will become a highly cost effective way to save millions of lives. notes for editors work by who and partnerswho works closely with member states including the us government and technical and funding partners such as unitaid to enhance access to shorter tb preventive treatment regimens. unitaid supported projects such as impaact4 tb and cap tb projects enabled by who with partners in brazil cambodia cameroon cte divoire democratic republic of congo ethiopia ghana india indonesia kenya lesotho malawi mozambique south africa uganda united republic of tanzania and zimbabwe are leading the way. the new treatment options are also now more affordable thanks to the significant price drop of rifapentine a key drug facilitated recently by unitaid the global fund to fight aids tuberculosis and malaria and global biopharmaceutical company sanofi along with forthcoming arrangements underway with generic manufacturers. more about the guidelinesthe new consolidated who guidelines come with an operational handbook to help guide countries step by step as they take tb preventive treatment to scale. this includes guidance on how to prioritize and invest from demand creation for tb prevention to supervision and monitoring of the programme. the guidelines and operational handbook are also accompanied by an innovative mobile application prevent tb to help health care workers manage tb preventive treatment in their communities. its online dashboard allows programme managers to visualize and monitor data in real time. the application can be customized by countries to suit their specific settings and is currently being adopted in india and philippines. world tb daythe new guidelines and tools are being released ahead of world tb day. world tb day is observed on march 24 each year to raise public awareness and understanding about the worlds deadliest infectious killer tb and its devastating health social and economic impact on people around the world. under the theme its time the spotlight this year is on urgently accelerating the tb response to save lives and end suffering. ",real
this document focuses on communication strategies for case interviews and provides suggested language for case investigators as they cover each topic area during an interview .. ,real
the rise of covid-19 has led to a scramble for ventilators to help the sickest patients. now experts are hoping experimental drugs may help treat these patients before they need help breathing. ,real
The states seeing record-high averages are Alabama Arizona California Florida Nevada North Carolina Oklahoma Oregon South Carolina and Texas. https://t.co/1mwEjQaNTF,real
this guidance provides recommendations on cleaning and disinfection of households where persons under investigation pui or those with confirmed covid-19 reside or may be in self- isolation. it is aimed at limiting survival of virus in environments. these recommendations will be updated if additional information becomes available. ,real
âYesterday we conducted the highest number of #COVID19 tests &amp; recorded the highest number of positive cases in #Nigeria We have also deployed 15 rapid response teams to support 15 states This is the largest deployment of resources ever for an outbreak in #Nigeriaâ?~ @Chikwe_I https://t.co/xYGPQov23e,real
a record number of australians have received flu vaccines as health authorities gear up for a possible season with both flu and covid-19 .. ,real
Potential contacts include people on the same flight from Brisbane and people who are in or have been in the same managed isolation facility including staff.,real
Yesterday our laboratories completed 1960 tests bringing the total number of tests completed to date to 397470. This includes testing at managed isolation facilities and community-based testing across the country. The seven day rolling daily test average is 6950.,real
3 out of every 5 Nigerians who die from #COVID19 are more than 50 years old Take precautions to protect your older relatives by wearing a face mask in public practicing hand/respiratory hygiene &amp; maintaining a physical distance of 2 metres from others #TakeResponsibility https://t.co/RFioR52i7C,real
this report describes use of automated symptom monitoring in maine to promptly identify covid-19 diagnoses among contacts .. ,real
cdc has developed a new serology laboratory test to assist with efforts to determine how much of the u.s. population has been exposed to sars cov-2 the virus that causes covid-19. ,real
RT @Surgeon_General: #Handwashing is one of the best ways to prevent the spread of viruses like #COVID19. Here are 5â?things to know abouâ?real,
Soap and hand sanitizer can be used to kill coronavirus in the body.,fake
"After 16 hours of construction, the 1st building of Huoshenshan Hospital in #Wuhan has completed on Monday. The hospital is expected to be handed over to the military on Feb 2 upon completion and put into use for #coronavirus patients",fake
these are the coronavirus stories you need to know about today .. ,real
Dolores Cahill in Computing Forever interview claims that taking vitamins C and D as well as zinc boosts the immune system against COVID-19 that hydroxychloroquine has been proven effective against COVID-19 and that COVID-19 patients who recover are immune for life among others.,fake
Madagascar does not have any cases of the coronavirus,fake
Joe Biden has repeatedly said he was the first person to call for invoking the Defense Production Act in response to the coronavirus. We looked at the timeline. He wasn't. https://t.co/EoZxd0mrV8 https://t.co/qHEX1pGpUu,fake
Post says two patients at Valley Regional Medical Center in Brownsville Texas âare being looked atâ?for possible coronavirus infections.,fake
President Trump urged people to ingest or inject disinfectants as a treatment for coronavirus.,fake
cdc 's office in fort collins ships 9 tons of stockpiled protective equipment to public health agencies and cdc teams around the world .. ,real
Video shows 106 dead bodies in Delhi's Loknayak hospital in India.,fake
A scientific study shows that cannabis is more effective at preventing and treating COVID-19 than hydroxychloroquine.,fake
experts are concerned after russian officials approved covid-19 vaccine before vital testing was done. vaccine has been approved before it was tested in phase 3 trials which are needed to know if vaccine is safe and effective. ,real
it is especially important for people at increased risk of severe illness from covid-19 and those who live with them to protect themselves from getting covid-19 .. ,real
The coronavirus disease is caused by a bacterium that in turn causes thrombosis. Moreover these bacteria get stronger under the influence of the 5G waves.,fake
many us healthcare workers started this year already suffering from burnout but the worst was yet to come .. ,real
A report by heath charity The King's Fund says the impact of the #COVID19 pandemic on health and care staff 'has been unprecedented and will be felt for a long time to come' https://t.co/DAWE4W614d,real
